group_id,program,calendar_year,program_type,year_level,requirement_area,option_id,option_name,option_name_raw,theme,is_recommended,label,credits,rule_type,rule_value,rule_subject,include_pattern,exclude_pattern,rule_unit,course_code,source_text
ENSC_2026_2027_HONOURS_020,ENSC,2026-2027,Honours,Third and Fourth Years,Core Requirement,,,,,False,"ENVR_V 300, 305, 350, 449, 450",16.0,required_all,,,,,,ENVR305,"ENVR_V 300, 305, 350, 449, 450"
ENSC_2026_2027_HONOURS_020,ENSC,2026-2027,Honours,Third and Fourth Years,Core Requirement,,,,,False,"ENVR_V 300, 305, 350, 449, 450",16.0,required_all,,,,,,ENVR350,"ENVR_V 300, 305, 350, 449, 450"
ENSC_2026_2027_HONOURS_020,ENSC,2026-2027,Honours,Third and Fourth Years,Core Requirement,,,,,False,"ENVR_V 300, 305, 350, 449, 450",16.0,required_all,,,,,,ENVR449,"ENVR_V 300, 305, 350, 449, 450"
ENSC_2026_2027_HONOURS_020,ENSC,2026-2027,Honours,Third and Fourth Years,Core Requirement,,,,,False,"ENVR_V 300, 305, 350, 449, 450",16.0,required_all,,,,,,ENVR450,"ENVR_V 300, 305, 350, 449, 450"
ENSC_2026_2027_HONOURS_021,ENSC,2026-2027,Honours,Third and Fourth Years,Core Requirement,,,,,False,"One of ENVR_V 410, 420, 430, 440",3.0,choose_n,1,,,,,ENVR410,"One of ENVR_V 410, 420, 430, 440"
ENSC_2026_2027_HONOURS_021,ENSC,2026-2027,Honours,Third and Fourth Years,Core Requirement,,,,,False,"One of ENVR_V 410, 420, 430, 440",3.0,choose_n,1,,,,,ENVR420,"One of ENVR_V 410, 420, 430, 440"
ENSC_2026_2027_HONOURS_021,ENSC,2026-2027,Honours,Third and Fourth Years,Core Requirement,,,,,False,"One of ENVR_V 410, 420, 430, 440",3.0,choose_n,1,,,,,ENVR430,"One of ENVR_V 410, 420, 430, 440"
ENSC_2026_2027_HONOURS_021,ENSC,2026-2027,Honours,Third and Fourth Years,Core Requirement,,,,,False,"One of ENVR_V 410, 420, 430, 440",3.0,choose_n,1,,,,,ENVR440,"One of ENVR_V 410, 420, 430, 440"
ENSC_2026_2027_HONOURS_022,ENSC,2026-2027,Honours,Third and Fourth Years,Core Requirement,,,,,False,EOSC_V 345,3.0,required_course,,,,,,EOSC345,EOSC_V 345
ENSC_2026_2027_HONOURS_024,ENSC,2026-2027,Honours,Third and Fourth Years,Tools Elective,,,,,False,Tools' Electives 11,3.0,choose_n,2,,,,,ATSC303,"Tools' Electives 11 | Footnote 11: 'Tools’ Electives: Two of ATSC_V 303, CHEM_V 211, 311, EOSC_V 211, GEOS_V 270, 309, 370, 373, NRES_V 241, 340, 341. Consult credit exclusion list before choosing 'Tools'."
ENSC_2026_2027_HONOURS_024,ENSC,2026-2027,Honours,Third and Fourth Years,Tools Elective,,,,,False,Tools' Electives 11,3.0,choose_n,2,,,,,CHEM211,"Tools' Electives 11 | Footnote 11: 'Tools’ Electives: Two of ATSC_V 303, CHEM_V 211, 311, EOSC_V 211, GEOS_V 270, 309, 370, 373, NRES_V 241, 340, 341. Consult credit exclusion list before choosing 'Tools'."
ENSC_2026_2027_HONOURS_024,ENSC,2026-2027,Honours,Third and Fourth Years,Tools Elective,,,,,False,Tools' Electives 11,3.0,choose_n,2,,,,,CHEM311,"Tools' Electives 11 | Footnote 11: 'Tools’ Electives: Two of ATSC_V 303, CHEM_V 211, 311, EOSC_V 211, GEOS_V 270, 309, 370, 373, NRES_V 241, 340, 341. Consult credit exclusion list before choosing 'Tools'."
ENSC_2026_2027_HONOURS_024,ENSC,2026-2027,Honours,Third and Fourth Years,Tools Elective,,,,,False,Tools' Electives 11,3.0,choose_n,2,,,,,EOSC211,"Tools' Electives 11 | Footnote 11: 'Tools’ Electives: Two of ATSC_V 303, CHEM_V 211, 311, EOSC_V 211, GEOS_V 270, 309, 370, 373, NRES_V 241, 340, 341. Consult credit exclusion list before choosing 'Tools'."
ENSC_2026_2027_HONOURS_024,ENSC,2026-2027,Honours,Third and Fourth Years,Tools Elective,,,,,False,Tools' Electives 11,3.0,choose_n,2,,,,,GEOS270,"Tools' Electives 11 | Footnote 11: 'Tools’ Electives: Two of ATSC_V 303, CHEM_V 211, 311, EOSC_V 211, GEOS_V 270, 309, 370, 373, NRES_V 241, 340, 341. Consult credit exclusion list before choosing 'Tools'."
ENSC_2026_2027_HONOURS_024,ENSC,2026-2027,Honours,Third and Fourth Years,Tools Elective,,,,,False,Tools' Electives 11,3.0,choose_n,2,,,,,GEOS309,"Tools' Electives 11 | Footnote 11: 'Tools’ Electives: Two of ATSC_V 303, CHEM_V 211, 311, EOSC_V 211, GEOS_V 270, 309, 370, 373, NRES_V 241, 340, 341. Consult credit exclusion list before choosing 'Tools'."
ENSC_2026_2027_HONOURS_024,ENSC,2026-2027,Honours,Third and Fourth Years,Tools Elective,,,,,False,Tools' Electives 11,3.0,choose_n,2,,,,,GEOS370,"Tools' Electives 11 | Footnote 11: 'Tools’ Electives: Two of ATSC_V 303, CHEM_V 211, 311, EOSC_V 211, GEOS_V 270, 309, 370, 373, NRES_V 241, 340, 341. Consult credit exclusion list before choosing 'Tools'."
ENSC_2026_2027_HONOURS_024,ENSC,2026-2027,Honours,Third and Fourth Years,Tools Elective,,,,,False,Tools' Electives 11,3.0,choose_n,2,,,,,GEOS373,"Tools' Electives 11 | Footnote 11: 'Tools’ Electives: Two of ATSC_V 303, CHEM_V 211, 311, EOSC_V 211, GEOS_V 270, 309, 370, 373, NRES_V 241, 340, 341. Consult credit exclusion list before choosing 'Tools'."
ENSC_2026_2027_HONOURS_024,ENSC,2026-2027,Honours,Third and Fourth Years,Tools Elective,,,,,False,Tools' Electives 11,3.0,choose_n,2,,,,,NRES241,"Tools' Electives 11 | Footnote 11: 'Tools’ Electives: Two of ATSC_V 303, CHEM_V 211, 311, EOSC_V 211, GEOS_V 270, 309, 370, 373, NRES_V 241, 340, 341. Consult credit exclusion list before choosing 'Tools'."
