group_id,program,calendar_year,program_type,year_level,requirement_area,option_id,option_name,option_name_raw,theme,is_recommended,label,credits,rule_type,rule_value,rule_subject,include_pattern,exclude_pattern,rule_unit,source_text
ENSC_2026_2027_MAJOR_AOC_ENVIRONMENTAL_IMPACTS_HUMAN_HEALTH_002,ENSC,2026-2027,Major,,Area of Concentration,ENVIRONMENTAL_IMPACTS_HUMAN_HEALTH,Environmental Impacts on Human Health,Environment Impacts on Human Health Area of Concentration,,False,SPPH_V 303,,required_course,,,,,,SPPH_V 303
ENSC_2026_2027_MAJOR_AOC_ENVIRONMENTAL_IMPACTS_HUMAN_HEALTH_003,ENSC,2026-2027,Major,,Area of Concentration,ENVIRONMENTAL_IMPACTS_HUMAN_HEALTH,Environmental Impacts on Human Health,Environment Impacts on Human Health Area of Concentration,,False,"One of BIOL_V 201, BIOC_V 202, CHEM_V 203, 205, 233",,choose_n,1,,,,,"One of BIOL_V 201, BIOC_V 202, CHEM_V 203, 205, 233"
ENSC_2026_2027_MAJOR_AOC_ENVIRONMENTAL_IMPACTS_HUMAN_HEALTH_004,ENSC,2026-2027,Major,,Area of Concentration,ENVIRONMENTAL_IMPACTS_HUMAN_HEALTH,Environmental Impacts on Human Health,Environment Impacts on Human Health Area of Concentration,,False,"Four of BIOL_V 302, 314, 328, 403, CHEM_V 302, 341, CIVL_V 201, EOSC_V 474, GEOS_V 402, MECH_V 411, MICB_V 211, SPPH_V 301.",,choose_n,4,,,,,"Four of BIOL_V 302, 314, 328, 403, CHEM_V 302, 341, CIVL_V 201, EOSC_V 474, GEOS_V 402, MECH_V 411, MICB_V 211, SPPH_V 301."
ENSC_2026_2027_MAJOR_AOC_ENVIRONMENTAL_ANALYTICS_001,ENSC,2026-2027,Major,,Area of Concentration,ENVIRONMENTAL_ANALYTICS,Environmental Analytics,Environment Analytics Area of Concentration,,False,CPSC_V 203,,required_course,,,,,,CPSC_V 203
ENSC_2026_2027_MAJOR_AOC_ENVIRONMENTAL_ANALYTICS_002,ENSC,2026-2027,Major,,Area of Concentration,ENVIRONMENTAL_ANALYTICS,Environmental Analytics,Environment Analytics Area of Concentration,,False,"One of CPSC_V 103, EOSC_V 211",,choose_n,1,,,,,"One of CPSC_V 103, EOSC_V 211"
ENSC_2026_2027_MAJOR_AOC_ENVIRONMENTAL_ANALYTICS_003,ENSC,2026-2027,Major,,Area of Concentration,ENVIRONMENTAL_ANALYTICS,Environmental Analytics,Environment Analytics Area of Concentration,,False,"One of EOSC_V 410, 440",,choose_n,1,,,,,"One of EOSC_V 410, 440"
ENSC_2026_2027_MAJOR_AOC_ENVIRONMENTAL_ANALYTICS_004,ENSC,2026-2027,Major,,Area of Concentration,ENVIRONMENTAL_ANALYTICS,Environmental Analytics,Environment Analytics Area of Concentration,,False,"Four of ATSC_V 409, BIOL_V 301, CPSC_V 330, 430, DSCI_V 310, 320, 430, EOSC_V 250, 354, 410, 440, 471, FRE_V 326, 430, 474, 490, GEOS_V 370, 373, MATH_V 111 (or 131 or 221 or 223), 200, 215, 255, STAT_V 301",,choose_n,4,,,,,"Four of ATSC_V 409, BIOL_V 301, CPSC_V 330, 430, DSCI_V 310, 320, 430, EOSC_V 250, 354, 410, 440, 471, FRE_V 326, 430, 474, 490, GEOS_V 370, 373, MATH_V 111 (or 131 or 221 or 223), 200, 215, 255, STAT_V 301"
ENSC_2026_2027_HONOURS_AOC_LAND_AIR_WATER_001,ENSC,2026-2027,Honours,,Area of Concentration,LAND_AIR_WATER,"Land, Air, and Water","Land, Air, and Water Area of Concentration",,False,ENVR_V 420,,required_course,,,,,,ENVR_V 420
ENSC_2026_2027_HONOURS_AOC_LAND_AIR_WATER_002,ENSC,2026-2027,Honours,,Area of Concentration,LAND_AIR_WATER,"Land, Air, and Water","Land, Air, and Water Area of Concentration",,False,EOSC_V 211,,required_course,,,,,,EOSC_V 211
ENSC_2026_2027_HONOURS_AOC_LAND_AIR_WATER_003,ENSC,2026-2027,Honours,,Area of Concentration,LAND_AIR_WATER,"Land, Air, and Water","Land, Air, and Water Area of Concentration",,False,"One of APBI_V 200, ATSC_V 201, EOSC_V 220, 221, 222, 270, GEOS_V 200, 206.",,choose_n,1,,,,,"One of APBI_V 200, ATSC_V 201, EOSC_V 220, 221, 222, 270, GEOS_V 200, 206."
