group_id,program,calendar_year,program_type,year_level,concentration_id,concentration_name,concentration_name_raw,aoc_category,is_recommended,label,credits,rule_type,rule_value,course_code
ENSC_2024_2025_HONOURS_018,ENSC,2024-2025,Honours,Second Year,,,,,False,"One of MATH_V 200, 221, STAT_V 200, 201, BIOL_V 300 9",3.0,choose_n,1,MATH221
ENSC_2024_2025_HONOURS_018,ENSC,2024-2025,Honours,Second Year,,,,,False,"One of MATH_V 200, 221, STAT_V 200, 201, BIOL_V 300 9",3.0,choose_n,1,STAT200
ENSC_2024_2025_HONOURS_018,ENSC,2024-2025,Honours,Second Year,,,,,False,"One of MATH_V 200, 221, STAT_V 200, 201, BIOL_V 300 9",3.0,choose_n,1,STAT201
ENSC_2024_2025_HONOURS_021,ENSC,2024-2025,Honours,Third and Fourth Years,,,,,False,BIOL_V 306,3.0,required_course,,BIOL306
ENSC_2024_2025_HONOURS_022,ENSC,2024-2025,Honours,Third and Fourth Years,,,,,False,"CHEM_V 301, 302",6.0,required_all,,CHEM301
ENSC_2024_2025_HONOURS_022,ENSC,2024-2025,Honours,Third and Fourth Years,,,,,False,"CHEM_V 301, 302",6.0,required_all,,CHEM302
ENSC_2024_2025_HONOURS_023,ENSC,2024-2025,Honours,Third and Fourth Years,,,,,False,"ENVR_V 300, 449",9.0,required_all,,ENVR300
ENSC_2024_2025_HONOURS_023,ENSC,2024-2025,Honours,Third and Fourth Years,,,,,False,"ENVR_V 300, 449",9.0,required_all,,ENVR449
ENSC_2024_2025_HONOURS_024,ENSC,2024-2025,Honours,Third and Fourth Years,,,,,False,"EOSC_V 372, 373",6.0,required_all,,EOSC372
ENSC_2024_2025_HONOURS_024,ENSC,2024-2025,Honours,Third and Fourth Years,,,,,False,"EOSC_V 372, 373",6.0,required_all,,EOSC373
ENSC_2024_2025_HONOURS_025,ENSC,2024-2025,Honours,Third and Fourth Years,,,,,False,"Two of ENVR_V 410, 420, 430, 440",6.0,choose_n,2,ENVR410
ENSC_2024_2025_HONOURS_025,ENSC,2024-2025,Honours,Third and Fourth Years,,,,,False,"Two of ENVR_V 410, 420, 430, 440",6.0,choose_n,2,ENVR420
ENSC_2024_2025_HONOURS_025,ENSC,2024-2025,Honours,Third and Fourth Years,,,,,False,"Two of ENVR_V 410, 420, 430, 440",6.0,choose_n,2,ENVR430
ENSC_2024_2025_HONOURS_025,ENSC,2024-2025,Honours,Third and Fourth Years,,,,,False,"Two of ENVR_V 410, 420, 430, 440",6.0,choose_n,2,ENVR440
ENSC_2024_2025_HONOURS_026,ENSC,2024-2025,Honours,Third and Fourth Years,,,,,False,'Tools' Electives 11,6.0,choose_n,2,ATSC303
ENSC_2024_2025_HONOURS_026,ENSC,2024-2025,Honours,Third and Fourth Years,,,,,False,'Tools' Electives 11,6.0,choose_n,2,CHEM211
ENSC_2024_2025_HONOURS_026,ENSC,2024-2025,Honours,Third and Fourth Years,,,,,False,'Tools' Electives 11,6.0,choose_n,2,CHEM311
ENSC_2024_2025_HONOURS_026,ENSC,2024-2025,Honours,Third and Fourth Years,,,,,False,'Tools' Electives 11,6.0,choose_n,2,CONS340
ENSC_2024_2025_HONOURS_026,ENSC,2024-2025,Honours,Third and Fourth Years,,,,,False,'Tools' Electives 11,6.0,choose_n,2,EOSC211
ENSC_2024_2025_HONOURS_026,ENSC,2024-2025,Honours,Third and Fourth Years,,,,,False,'Tools' Electives 11,6.0,choose_n,2,FRST443
ENSC_2024_2025_HONOURS_026,ENSC,2024-2025,Honours,Third and Fourth Years,,,,,False,'Tools' Electives 11,6.0,choose_n,2,GEOB270
